product_code,name,category,supplier,selling_price,cost_price,unit,last_updated
9556823144052,CLOREX 1L,Household products,,2.90,0.00,,
9556823145059,Clorex 1L,Household products,,2.90,0.00,,
9556823422631,COMBAT Roach Killer,Household products,,8.20,0.00,,
9557992502605,CHARCOAL 3kg,Household products,,8.40,0.00,,
H,HARPIC Lemon Zest,Household products,,3.20,3.00,,
pc,Paper Cups 25 PCS,Household products,,1.50,0.00,,
RP,Roll Plastic,Household products,,2.90,2.70,,
8850125090552,NESTLE OREO,Ice Cream,,3.30,0.00,,
9156001252236,Milo,Ice Cream,,1.60,0.00,,
9556001076342,NS KIT KAT DRUMSTICK,Ice Cream,,2.60,0.00,,
9556001091369,NESTLE TROPICANA,Ice Cream,,1.10,0.00,,
9556001091437,Crunch,Ice Cream,,1.40,0.00,,
9556001091925,NESTLE MILO,Ice Cream,,1.60,0.00,,
9556001097224,Icy Grape,Ice Cream,,0.90,0.00,,
9556001232236,Milo,Ice Cream,,1.50,0.00,,
9556001260895,Nestle  OREO,Ice Cream,,2.60,0.00,,
9556001262974,Butterfly,Ice Cream,,1.70,0.00,,
9556001263827,Musang King,Ice Cream,,4.00,0.00,,
9556001272775,N Kit Kat,Ice Cream,,3.30,0.00,,
9556001287434,NS Gold,Ice Cream,,3.30,0.00,,
9556001295552,NS CAPPUCCINO,Ice Cream,,3.20,0.00,,
9556001302069,KitKat Pink,Ice Cream,,3.30,0.00,,
9556001308757,Milo KAW,Ice Cream,,2.30,0.00,,
9556001310835,NS Berry Burst,Ice Cream,,2.30,0.00,,
9556001311276,KitKat UZU,Ice Cream,,3.30,0.00,,
9556001315694,Nestle Dairy Milk,Ice Cream,,3.50,0.00,,
9556001325426,Cadbury Hazelnut,Ice Cream,,3.80,0.00,,
9556001328755,Lychee yogurt,Ice Cream,,1.40,0.00,,
9557941202020,Redbean,Ice Cream,,0.80,0.00,,
9557941202037,Durian,Ice Cream,,0.80,0.00,,
9557941202068,Chendol,Ice Cream,,0.80,0.00,,
I,Ice Cream,Ice Cream,,0.01,0.01,,
055000490306,Maggi India,Indian Provision,,2.30,0.00,,
1111111552971,A Ikan Kering,Indian Provision,,2.50,0.00,,
490510119,SSR Black  Chickpeas,Indian provision,,2.20,0.00,,
490626101,SSR Idly Podi,Indian provision,,2.90,0.00,,
490626103,SSR Dhal Powder,Indian provision,,2.50,0.00,,
490626108,SSR Vatha Curry,Indian provision,,3.60,0.00,,
490626109,SSR Puligare mix,Indian provision,,2.40,0.00,,
490626213,SSR Roasted Rava ,Indian provision,,1.80,0.00,,
490626220,SSR Appalam,Indian provision,,1.30,0.00,,
490626226,SSR Sago 250g,Indian provision,,1.40,0.00,,
490626227,SSR Sago 500g,Indian provision,,2.80,0.00,,
490626241,SSR Rock Sugar,Indian provision,,1.20,0.00,,
490627174,SSR Samba Rava,Indian provision,,3.40,0.00,,
490627180,SSR Pepper Sev,Indian snacks,,1.00,0.00,,
490627185,SSR Gram Dal,Indian provision,,1.00,0.00,,
490627186,SSr Roasted Cpeas,Indian provision,,1.00,0.00,,
490627189,SSR Roasted Peanut,Indian provision,,1.00,0.00,,
490627202,SSR Dry Ginger,Indian provision,,1.60,0.00,,
490627211,SSR Peanut  Balls,Indian snacks,,1.50,0.00,,
490627212,SSR Crushed Peanut,Indian snacks,,1.50,0.00,,
490627213,SSR WS Balls,Indian snacks,,1.50,0.00,,
490627214,SSR BS Balls,Indian snacks,,1.50,0.00,,
490627216,SSR FG Balls,Indian snacks,,1.50,0.00,,
490627220,SSR Puffed Rice,Indian provision,,1.50,0.00,,
490627222,SSR Chana Dal,Indian provision,,1.00,0.00,,
490627238,SSR Roasted Gram,Indian provision,,1.50,0.00,,
490629008,SSR GM Dal 500g,Indian provision,,2.60,0.00,,
490629012,SSR Chana Dal 500g,Indian provision,,2.40,0.00,,
490629026,SSR B Urid Dhall,Indian provision,,2.80,0.00,,
490629038,SSR Wheel Pappad,Indian provision,,1.80,0.00,,
490629041,SSR Mix Dry Veg,Indian provision,,2.40,0.00,,
490629042,SSR Curd Chilli,Indian provision,,1.50,0.00,,
490629045,SSR Flower Pappad,Indian provision,,1.80,0.00,,
490629046,SSR Stick Pappad,Indian provision,,1.80,0.00,,
490629107,SSR Moong Dal,Indian provision,,1.00,0.00,,
490629109,SSr Green Peas,Indian provision,,1.00,0.00,,
6291103750006,MDH Amchur,Indian provision,,2.60,0.00,,
6291103750075,MDH Chana Masala,Indian provision,,2.40,0.00,,
6291103750099,MDH Chat Masala,Indian provision,,2.40,0.00,,
6291103750297,MDH PAV Bhaji,Indian provision,,2.40,0.00,,
6291103750501,MDH Kasoori Meithi,Indian provision,,1.40,0.00,,
